"","origin","dev","value","lob"
"1977-1",1977,1,153638,"ABC"
"1978-1",1978,1,178536,"ABC"
"1979-1",1979,1,210172,"ABC"
"1980-1",1980,1,211448,"ABC"
"1981-1",1981,1,219810,"ABC"
"1982-1",1982,1,205654,"ABC"
"1983-1",1983,1,197716,"ABC"
"1984-1",1984,1,239784,"ABC"
"1985-1",1985,1,326304,"ABC"
"1986-1",1986,1,420778,"ABC"
"1987-1",1987,1,496200,"ABC"
"1977-2",1977,2,342050,"ABC"
"1978-2",1978,2,404948,"ABC"
"1979-2",1979,2,469340,"ABC"
"1980-2",1980,2,464930,"ABC"
"1981-2",1981,2,486114,"ABC"
"1982-2",1982,2,458400,"ABC"
"1983-2",1983,2,453124,"ABC"
"1984-2",1984,2,569026,"ABC"
"1985-2",1985,2,798048,"ABC"
"1986-2",1986,2,1011178,"ABC"
"1977-3",1977,3,476584,"ABC"
"1978-3",1978,3,563842,"ABC"
"1979-3",1979,3,657728,"ABC"
"1980-3",1980,3,648300,"ABC"
"1981-3",1981,3,680764,"ABC"
"1982-3",1982,3,635906,"ABC"
"1983-3",1983,3,647772,"ABC"
"1984-3",1984,3,833828,"ABC"
"1985-3",1985,3,1173448,"ABC"
"1977-4",1977,4,564040,"ABC"
"1978-4",1978,4,668528,"ABC"
"1979-4",1979,4,780802,"ABC"
"1980-4",1980,4,779340,"ABC"
"1981-4",1981,4,800862,"ABC"
"1982-4",1982,4,765428,"ABC"
"1983-4",1983,4,790100,"ABC"
"1984-4",1984,4,1024228,"ABC"
"1977-5",1977,5,624388,"ABC"
"1978-5",1978,5,739976,"ABC"
"1979-5",1979,5,864182,"ABC"
"1980-5",1980,5,858334,"ABC"
"1981-5",1981,5,888444,"ABC"
"1982-5",1982,5,862214,"ABC"
"1983-5",1983,5,895700,"ABC"
"1977-6",1977,6,666792,"ABC"
"1978-6",1978,6,787966,"ABC"
"1979-6",1979,6,920268,"ABC"
"1980-6",1980,6,918566,"ABC"
"1981-6",1981,6,951194,"ABC"
"1982-6",1982,6,944614,"ABC"
"1977-7",1977,7,698030,"ABC"
"1978-7",1978,7,823542,"ABC"
"1979-7",1979,7,958764,"ABC"
"1980-7",1980,7,964134,"ABC"
"1981-7",1981,7,1002194,"ABC"
"1977-8",1977,8,719282,"ABC"
"1978-8",1978,8,848360,"ABC"
"1979-8",1979,8,992532,"ABC"
"1980-8",1980,8,1002134,"ABC"
"1977-9",1977,9,735904,"ABC"
"1978-9",1978,9,871022,"ABC"
"1979-9",1979,9,1019932,"ABC"
"1977-10",1977,10,750344,"ABC"
"1978-10",1978,10,889022,"ABC"
"1977-11",1977,11,762544,"ABC"
"1981-12",1981,1,5012,"RAA"
"1982-11",1982,1,106,"RAA"
"1983-11",1983,1,3410,"RAA"
"1984-11",1984,1,5655,"RAA"
"1985-11",1985,1,1092,"RAA"
"1986-11",1986,1,1513,"RAA"
"1987-11",1987,1,557,"RAA"
"1988-1",1988,1,1351,"RAA"
"1989-1",1989,1,3133,"RAA"
"1990-1",1990,1,2063,"RAA"
"1981-21",1981,2,8269,"RAA"
"1982-21",1982,2,4285,"RAA"
"1983-21",1983,2,8992,"RAA"
"1984-21",1984,2,11555,"RAA"
"1985-21",1985,2,9565,"RAA"
"1986-21",1986,2,6445,"RAA"
"1987-2",1987,2,4020,"RAA"
"1988-2",1988,2,6947,"RAA"
"1989-2",1989,2,5395,"RAA"
"1981-31",1981,3,10907,"RAA"
"1982-31",1982,3,5396,"RAA"
"1983-31",1983,3,13873,"RAA"
"1984-31",1984,3,15766,"RAA"
"1985-31",1985,3,15836,"RAA"
"1986-3",1986,3,11702,"RAA"
"1987-3",1987,3,10946,"RAA"
"1988-3",1988,3,13112,"RAA"
"1981-41",1981,4,11805,"RAA"
"1982-41",1982,4,10666,"RAA"
"1983-41",1983,4,16141,"RAA"
"1984-41",1984,4,21266,"RAA"
"1985-4",1985,4,22169,"RAA"
"1986-4",1986,4,12935,"RAA"
"1987-4",1987,4,12314,"RAA"
"1981-51",1981,5,13539,"RAA"
"1982-51",1982,5,13782,"RAA"
"1983-51",1983,5,18735,"RAA"
"1984-5",1984,5,23425,"RAA"
"1985-5",1985,5,25955,"RAA"
"1986-5",1986,5,15852,"RAA"
"1981-61",1981,6,16181,"RAA"
"1982-61",1982,6,15599,"RAA"
"1983-6",1983,6,22214,"RAA"
"1984-6",1984,6,26083,"RAA"
"1985-6",1985,6,26180,"RAA"
"1981-71",1981,7,18009,"RAA"
"1982-7",1982,7,15496,"RAA"
"1983-7",1983,7,22863,"RAA"
"1984-7",1984,7,27067,"RAA"
"1981-8",1981,8,18608,"RAA"
"1982-8",1982,8,16169,"RAA"
"1983-8",1983,8,23466,"RAA"
"1981-9",1981,9,18662,"RAA"
"1982-9",1982,9,16704,"RAA"
"1981-10",1981,10,18834,"RAA"
"1-1",1,1,357848,"GenIns"
"2-1",2,1,352118,"GenIns"
"3-1",3,1,290507,"GenIns"
"4-1",4,1,310608,"GenIns"
"5-1",5,1,443160,"GenIns"
"6-1",6,1,396132,"GenIns"
"7-1",7,1,440832,"GenIns"
